COD_PAIS|NOM_PAIS|DT_INI|DT_FIM
6254|QUIRGUIZ, REPUBLICA|1012009|
6289|REINO UNIDO|1012009|
6408|REPUBLICA CENTRO-AFRICANA|1012009|
6475|REPUBLICA DOMINICANA|1012009|
6602|REUNIAO, ILHA|1012009|
6653|ZIMBABUE|1012009|
6700|ROMENIA|1012009|
6750|RUANDA|1012009|
6769|RUSSIA, FEDERACAO DA|1012009|
6777|SALOMAO, ILHAS|1012009|
6781|SAINT KITTS E NEVIS|1012009|
6858|SAARA OCIDENTAL|1012009|
6874|EL SALVADOR|1012009|
6904|SAMOA|1012009|
6912|SAMOA AMERICANA|1012009|
6955|SAO CRISTOVAO E NEVES,ILHAS|1012009|
6971|SAN MARINO|1012009|
7005|SAO PEDRO E MIQUELON|1012009|
7056|SAO VICENTE E GRANADINAS|1012009|
7102|SANTA HELENA|1012009|
7153|SANTA LUCIA|1012009|
7200|SAO TOME E PRINCIPE, ILHAS|1012009|
7285|SENEGAL|1012009|
7315|SEYCHELLES|1012009|
7358|SERRA LEOA|1012009|
7370|SERVIA|1012009|
7412|CINGAPURA|1012009|
7447|SIRIA, REPUBLICA ARABE DA|1012009|
7480|SOMALIA|1012009|
7501|SRI LANKA|1012009|
7544|SUAZILANDIA|1012009|19072018
7560|AFRICA DO SUL|1012009|
7595|SUDAO|1012009|
7641|SUECIA|1012009|
7676|SUICA|1012009|
7706|SURINAME|1012009|
7722|TADJIQUISTAO, REPUBLICA DO|1012009|
7765|TAILANDIA|1012009|
7803|TANZANIA, REP.UNIDA DA|1012009|
7820|TERRITORIO BRIT.OC.INDICO|1012009|
7838|DJIBUTI|1012009|
7889|CHADE|1012009|
7919|TCHECA, REPUBLICA|1012009|
7951|TIMOR LESTE|1012009|
8001|TOGO|1012009|
8052|TOQUELAU,ILHAS|1012009|
8109|TONGA|1012009|
8150|TRINIDAD E TOBAGO|1012009|
8206|TUNISIA|1012009|
8230|TURCAS E CAICOS,ILHAS|1012009|
8249|TURCOMENISTAO, REPUBLICA DO|1012009|
8273|TURQUIA|1012009|
8281|TUVALU|1012009|
8311|UCRANIA|1012009|
8338|UGANDA|1012009|
8451|URUGUAI|1012009|
8478|UZBEQUISTAO, REPUBLICA DO|1012009|
8486|VATICANO, EST.DA CIDADE DO|1012009|
8508|VENEZUELA|1012009|
8583|VIETNA|1012009|
8630|VIRGENS,ILHAS (BRITANICAS)|1012009|
8664|VIRGENS,ILHAS (E.U.A.)|1012009|
8702|FIJI|1012009|
8737|WAKE, ILHA|1012009|
8885|CONGO, REPUBLICA DEMOCRATICA DO|1012009|
8907|ZAMBIA|1012009|
8958|ZONA DO CANAL DO PANAMA|1012009|
7600|SUDAO DO SUL|1072011|
4235|LEBUAN,ILHAS|1012009|
4885|MAYOTTE (ILHAS FRANCESAS)|1012009|
5780|PALESTINA|29112012|
2003|CURACAO|7122015|
6998|SAO MARTINHO, ILHA DE (PARTE HOLANDESA)|1012020|
6980|SAO MARTINHO, ILHA DE (PARTE FRANCESA)|1012017|
7544|ESWATINI|20072018|
